filename,gender,transcript
MF114.ogg,Female,बच्चा में कूपोशन और विटामिनरी कमी लागरी है।
MF115.ogg,Female,डॉक्टर साहब खान पीण में काई बदलाग करा।
MF116.ogg,Female,"दाल और पानी, गट्टो, उबले उंडो, दूद और दल्यो देवो, साथे मल्टी विटामिन और सिरप भी लिखूँ।"
MF117.ogg,Female,बच्चारी सास गड़ी तेज चाल रही है। बुखार कदसू है।
MF118.ogg,Female,डाक्टर साहाब कल रात सुखरू तेज भुखार है और चातीज में धरधरवी आवाज आवे है पसलिया भी धसरी है।
MF119.ogg,Female,बच्चा ने निमोनियों है और छाती में इंफेक्शन जम गयो है।
MF12.ogg,Female,थारी पलका और नकल गणा फिक्या लाग रहा है। लागे है कि थारा शरीर में खूनरी कमी है।
MF120.ogg,Female,डॉक्टर साहब इन्हें अस्तपताल में भर्ती करवाने पड़ती।
MF121.ogg,Female,"हाँ, सास्वी तकलीव घड़ी है। तुरंत न्यूबोलाइजर और ओक्सीजन्री जरूरत है। अस्तपताल में भर्ती करवाणों ही सुरक्षित है।"
MF13.mpeg,Female,"हाँ, डॉक्टर क्यों थो कि महाने पीसीयो डिया है।"
MF14.ogg,Female,तो महाने खूंडी जाच करवानी पड़सी।
MF15.mpeg,Female,इस हार्मोनारी गड़बड़ और बीच को शारी वज़े सु होवे?
MF16.ogg,Female,"हाँ, हम हीमोगलोबिन री जाच कराला। माने थाने आइरन और फॉलिक एसेडरी गोली लिख्यू हूँ। खावा में पालक, गुड, चणा और हरी साग सबजी जादा राखो।"
MF17.mpeg,Female,डॉक्टर साहब यह दवाई सु ठीक हो जासी के?
MF18.ogg,Female,कहो बाईसा ताने क्या तकलीफ है?
MF19.mpeg,Female,"हाँ, दवाई सु अराम बिल सी, फिर थाने रोज 45 मिनट चालनो या कसरत करनी पड़ सी और मीठो, मैदो और जंक फूड बिलकुल छोड़नो पड़ सी।"
MF2.ogg,Female,राम राम बाई साथ बताओ काई तकलीफ लेके आई हो।
MF20.ogg,Female,डॉक्टर साहब पहला छै मैना सू मारो वजन बिना कारण घटियों बढ़ियों गयों है। मूँ पर सूजन रहवे है और थंड भी घणी लागे है।
MF21.mpeg,Female,बधाई हो! बालक कसो है?
MF22.ogg,Female,थारी महावारी भी आनियमित हो गई है काई।
MF23.mpeg,Female,"डॉक्टर साप, बालक पंधरा दिन रुए, पण माकु दूद घणु ओच्छो आवे, इवास ते बालक रोफ तो रावे।"
MF24.ogg,Female,"हाँ डॉक्टर, पीरियट्स टाइम पर नहीं आवे और घणों दर्द होवे, बाल भी घणा जड़ रहा है।"
MF25.mpeg,Female,"तुम बालक ने उपर रो दूद, गाहे रो दूद या तो डिब्बे रो दूद पियावे के।"
MF26.ogg,Female,ई थाइराइट ग्रंथी कम काम करे हैं। ओका लक्षन लागे हैं।
MF27.mpeg,Female,जी डॉक्टर भूख मिटावन खातर कटोरी सु दूद देध्याँ।
MF28.ogg,Female,थाइराइडरी जाच करवान सू पक्को पता चाल जासी।
MF29.mpeg,Female,उपर रो दूद बिलकुल मत दीजो। इसु इन्फेक्शन रो डर रहा है और छे महीना तलक बस माय रो दूद ही काफी है।
MF3.mpeg,Female,"डॉक्टर साहब, डिलिवरी अस्पताल में करानी पड़ सीने।"
MF30.ogg,Female,हाँ थारी थाइराइट प्रोफाइल्स जी जाच कराला। काल सुबह खाली पेट आवजो।
MF31.mpeg,Female,तो फिर दूद बढ़ाबा वास्ते माने काई खानो चाहिजे?
MF32.ogg,Female,आओ बैठो कमर रोधर्द अब कीनो है।
MF33.mpeg,Female,"थे दलियो, जीरो, सौफ, दूद और खरी साग भाजी घणी खाजो। बालक जितनी वार दूद पीसी उतनोई दूद वधारो बनसी।"
MF34.ogg,Female,डॉक्टर साहब कमर निचला भाग में गणों तेज दर्द है। जुक के जाडू लगावा या बर्तन धोवा तो जहां निकल जावे है।
MF35.mpeg,Female,खून री कमी पूरी करनी पड़सी। ओक रोकन री दवाई और आइरन फॉलिक एसेड री गोली लिखूला। थोड़ो थोड़ो करके दिन में कई वार खाती रेजो।
MF36.ogg,Female,दर्द कमर सू नीचे पगारी तरफ भी जावे है।
MF37.mpeg,Female,इस हु भालक ने काई नुकसान तो को नहीं हो सी।
MF38.ogg,Female,हाँ जी दाइना पग में नस खिचन जैसों दर्द होवे हैं और पग सुन पड़ जावे हैं।
MF39.mpeg,Female,इस रुआती गर्भवस्थारों असर है। जी का कारण इसो होवे है। थांकि खून रिजांचा सु हीमोग्लोबिन 9 ग्राम सु उच्छो लागे है।
MF4.ogg,Female,राम राम बाई साथ बताओ काई तकलीफ लेके आई हो।
MF40.ogg,Female,इस साइटिका या रीडरी डिस्क दबडरी वजह सु हो सके है।
MF41.mpeg,Female,डॉक्टर साहब तीसरो महिनो चाल रहु है। सवेरे उठताई गणी ओक आवे है और माथो भी गणो घूमे है।
MF42.ogg,Female,महाने आराम करनो पड़सी ही।
MF43.mpeg,Female,काई खानो पीनो ठीक सुन हो जावे है के।
MF44.ogg,Female,"हाँ, जमीन पर बैठन सू, बच जो और जुक के भारी सामान मत उठाओ। मैं थाने दरदरी दवाई और सिकाई रो तरीका बताओं हूँ।"
MF45.mpeg,Female,"नमस्ते, थाको गर्भवस्थारों कुणसो मेनो चाल रिवय।"
MF46.ogg,Female,कहूँ काई तकलीफ है?
MF47.mpeg,Female,ना डॉक्टर साहब काई भी खाऊं तो फोरण ओक हो जाओए। पानी भी पेट में टिके कोनी और देह में घणी जान कोनी रहगी।
MF48.ogg,Female,डॉक्टर सहाब कल सु गलो घणो दुके है। कोई भी डिक्टा तो घणो दर्द होवे है और दर्द कान तक जावे है।
MF49.mpeg,Female,"नमस्ते, थाको गर्भवस्थारों कुणसो मेनो चाल रिवय।"
MF5.mpeg,Female,"हाँ, अस्पताल में प्रसव गणु सुरक्षित रवे, आप आतकाल खातर गाड़ी रो नमबर और जरूरी समान पहला ही तयार राख जो।"
MF50.ogg,Female,बुखार भी आवे हैं काई।
MF51.mpeg,Female,डॉक्टर साहब तीसरो महिनो चाल रहु है। सवेरे उठताई गणी ओक आवे है और माथो भी गणो घूमे है।
MF52.ogg,Female,हलको बुखार है और पूरो शरीर तूट तो लागे है। नाग भी बंद है।
MF53.mpeg,Female,काई खानो पीनो ठीक सुन हो जावे है के।
MF54.ogg,Female,थारा टांसिल में सूजन आ गई है।
MF55.mpeg,Female,ना डॉक्टर साहब काई भी खाऊं तो फोरण ओक हो जाओए। पानी भी पेट में टिके कोनी और देह में घणी जान कोनी रहगी।
MF56.ogg,Female,इस थंडा पानी पीवंटी वज़े सु होयो है काई?
MF57.mpeg,Female,इस रुआती गर्भवस्थारों असर है। जी का कारण इसो होवे है। थांकि खून रिजांचा सु हीमोग्लोबिन 9 ग्राम सु उच्छो लागे है।
MF58.ogg,Female,हाँ मौसम बदल अर ठंडा पानी पीवन सू इंफेक्शन हो गयो है। गुनगुना पानी में नमक डाल के गरारा करो। अर जे एंटी बायोटिक लिखू हूँ ओ पाँच दिन पूरा ले जो।
MF59.mpeg,Female,इस हु भालक ने काई नुकसान तो को नहीं हो सी।
MF6.ogg,Female,"डॉक्टर साहब माने घणा बकत सू, सुस्ती और कमजोरी लागे है। थोड़ी सी चालू तो सास फूलन लाग जावे है।"
MF60.ogg,Female,थारी तबेत अचानक किंडरी खराब हुई।
MF61.mpeg,Female,खून री कमी पूरी करनी पड़सी। ओक रोकन री दवाई और आइरन फॉलिक एसेड री गोली लिखूला। थोड़ो थोड़ो करके दिन में कई वार खाती रेजो।
MF62.ogg,Female,डॉक्टर साहब बाजारी चाट पकोड़ी खाई थी। ओका बाद सू लगातार उल्टी और पेट में घणी तेज एठन हो रही है।
MF63.mpeg,Female,आईए बैठिये था के पगा में घणी सुझन लागरी है।
MF64.ogg,Female,उल्टी साथे दस्त भी शुरू हो गया काई।
MF65.mpeg,Female,डॉक्टर साहब सातमो मेनो चाल रियो है। हफ़ता भर सू मू और पगा में घणी सूजन आगी है और मातो घणो भारी भारी रवे।
MF66.ogg,Female,"हाँ जी, दो तीन बार दस्त भी होया, पानी भी पेट में नीटिके, तुरंत उल्टी आ जावे।"
MF67.mpeg,Female,ठाको बीपी देड़ सूर पचानवे आयो है। गर्भवस्था में ये घणो खतरनाक हो सके।
MF68.ogg,Female,इस फूड पॉइजन रो असर है उल्टी रो कर रो इंजेक्शन और ओरस देनो पड़सी।
MF69.mpeg,Female,"डॉक्टर सहब, इस सु बालक ने काई खतरों तो को नहीं होसी?"
MF7.mpeg,Female,थाने सबते मोटी तकलीफ काई है?
MF70.ogg,Female,डॉक्टर साहब माने घणी घवराहट हो रही है।
MF71.mpeg,Female,"इस प्रिक्लैंप्सिया हो सके थारो बीपी संभालनों घणो जरूरी है।  पिशाब में प्रोटीन री जाच करासूं, नमक ओचो खाजो और घणो अराम करजो।"
MF72.ogg,Female,चिंता मत करो आराम करो अर जद तक उल्टी बंद नहीं होवे तद तक ठोस खानो मत खावो बस नारियल रो पानी या नीबू रो पानी थोड़ा थोड़ा पीजो।
MF73.mpeg,Female,था की डिलिवरीरो टैम निर्का आवन वालो है। थाने सगला टीका लग गया के।
MF74.ogg,Female,थारी आख्यां गड़ी लाल हो रही है। काई होयो?
MF75.mpeg,Female,डॉक्टर साहब आठमा मिनो चाल रियो है टिटनेस रा बे टीका लग गया है।
MF76.ogg,Female,डॉक्टर सहाब आज सवेरे उठी तो दूनियों आख्या चिपकी हुई थी। घणी खुजली जलन हो रही है और पानी भी बह रहे हो है।
MF77.ogg,Female,धूप में देखता आख्या चुन्दियावे है काई या दर्द होवे है।
MF78.ogg,Female,हाँ जी रोशनी में आख्या खोलवी भी मुश्किल हो जावे है।
MF79.ogg,Female,आई आख आवण रो इनफेक्शन है यी एक सू दूसरे ने भी फैल सके है।
MF8.ogg,Female,थाने मातो गूमनों या आख्या आगी अन्धेरो चानों भी होवे है क्या?
MF80.ogg,Female,घर रटाबरा ने इसु किड़ बचावू?
MF81.ogg,Female,थारो तोलियो और रुमाल अलग राख जो। आख्याने साफ थंडा पानी सुधोगो और ई आई ड्रॉप दिन में चार बाल डाल जो।
MF82.ogg,Female,"धारी छातीरी धड़कन गड़ी तेज लागरी है, काई तकलीफ है।"
MF83.ogg,Female,"डॉक्टर साहब अचानक सीना में गबराट फूड लागी, पसीनों आवण लाग गयू और लागे है जड़ू दम गुट रहे है।"
MF84.ogg,Female,चालो पेला बीपी अर नाडी चेकर लेवा। थारो बीपी थोड़ा हाई है और धड़कन 110 है।
MF85.ogg,Female,"डॉक्टर साहब कदे इ दिलरो दोरो तो नहीं है, माने घरो डर लाग रहे हो।"
MF86.ogg,Female,ना इस घबराहट और बीपी बढ़न रो मिल्यो जुल्यो असर है। तसली खातर एक इसीजी कर लेवा।
MF87.ogg,Female,ठीक है डॉक्टर साहब।
MF88.ogg,Female,इस सीजी बिल्कुल ठीक आयो है। गबरावन क्री बातखोनी मनने शांत राख जो और इस गोली जीव नीचे राख के ले जो।
MF89.ogg,Female,बुखार कद सुआवे है और किडो लागे है।
MF9.mpeg,Female,डॉक्टर साहब पाछला चार पाँच मीना सू मावारी गणी देर सू आवे। वजन भी बढ़तो जावे और मूपर दाना भी निकल रिया है।
MF90.ogg,Female,डॉक्टर साहब काल सांज अचानक इतनी ठंड लागी कि दो रजाई ओड़न पर भी कपकपी बंद नहीं हुई फिर तेज बुखार चड़ गयो।
MF91.ogg,Female,बुखार उत्रया पाछे घणों पसीनों आयो काई।
MF92.ogg,Female,हाँ जी रात ने कपड़ा पसीना सो भीग गया और बुखार उतर गयो पर आज दुपेर फिर उड़ाई हाल हो गयो।
MF93.ogg,Female,यह मलेरियारों लक्षण है। थारे आसपास मच्चर गणा है।
MF94.ogg,Female,"हाँ, महारा इलाका में पानी भरी हो रही हो है। इस कारण मच्चर घणा है।"
MF95.ogg,Female,हम खून रो एमपी टेस्ट कराला और मलेरियारी दवाई तुरंत चालू कराला।
MF96.ogg,Female,कहो बाई सा काई तकलीफ है।
MF97.ogg,Female,डॉक्टर सहाब पिशाब करता बखत गणी तेज जलन अर दर्द होवे बार बार पिशाब आवे पर थोड़ा थोड़ा आवे।
MF98.ogg,Female,पेट रा निचला भाग में दर्द या बुखार भी है कहीं।
MF99.ogg,Female,हाँ जी निचला पेट में बारीपन ला गया है और हलको बुखार भी है।
